"","time","adi_ecg","adi_finger","adi_fro","ard_fro","ibi","id"
"102",0.101,1.2125,-0.0055625,4.05875,0.00046875,NA,"002"
"970",0.969,1.18125,-0.0068125,4.346875,0.00078125,0.868,"002"
"1820",1.819,1.021875,-0.0058125,4.860938,0.00078125,0.85,"002"
"2661",2.66,1.03125,-0.0061875,4.86,0.00046875,0.841,"002"
"3702",3.701,1.153125,-0.0054375,4.687188,0.000625,1.041,"002"
"4715",4.714,1.184375,-0.00675,4.858438,0.00078125,1.013,"002"
"5599",5.598,1.10625,-0.0036875,4.860938,0.000625,0.883999999999999,"002"
"6455",6.454,1.015625,-0.005625,4.860938,0.00078125,0.856,"002"
"7296",7.295,0.9625,-0.0063125,4.86,0.00078125,0.841,"002"
"8080",8.079,1.046875,-0.006125,4.86125,0.00078125,0.784000000000001,"002"
"8896",8.895,1.1875,-0.005125,4.860938,0.00078125,0.815999999999999,"002"
"10034",10.033,1.21875,-0.0055,4.550313,0.000625,1.138,"002"
"11049",11.048,1.215625,-0.002375,4.86125,0.000625,1.015,"002"
"12030",12.029,1.303125,-0.0045625,4.5425,0.000625,0.981,"002"
"12960",12.959,1.0875,-0.0066875,4.861562,0.000625,0.93,"002"
"13782",13.781,1.2125,-0.0060625,4.860313,0.0009375,0.822000000000001,"002"
"14592",14.591,1.1375,-0.005375,4.860625,0.00078125,0.809999999999999,"002"
"15523",15.522,1.20625,-0.005125,4.86125,0.00078125,0.931000000000001,"002"
"16507",16.506,1.290625,-0.0070625,3.83875,0.00078125,0.984,"002"
"17535",17.534,1.20625,-0.00425,4.860625,0.00046875,1.028,"002"
"18558",18.557,1.153125,-0.005875,4.858125,0.000625,1.023,"002"
"19509",19.508,1.278125,-0.0055,4.858438,0.000625,0.951000000000001,"002"
"20374",20.373,1.3,-0.0063125,4.511875,0.0003125,0.865000000000002,"002"
"21188",21.187,1.2625,-0.0050625,4.86125,0.00078125,0.814,"002"
"22087",22.086,1.203125,-0.0041875,4.86125,0.0009375,0.898999999999997,"002"
"23037",23.036,1.05,-0.0053125,4.860313,0.0003125,0.950000000000003,"002"
"23933",23.932,1.015625,-0.0065,4.85875,0.00078125,0.895999999999997,"002"
"24776",24.775,1.18125,-0.0055,3.980625,0.00078125,0.843,"002"
"25703",25.702,1.271875,-0.0055625,4.860938,0.00046875,0.927000000000003,"002"
"26836",26.835,1.259375,-0.0079375,4.858438,0.000625,1.133,"002"
"27832",27.831,1.31875,-0.004375,4.735938,0.0009375,0.995999999999999,"002"
"28790",28.789,1.340625,-0.0035625,4.548125,0.00078125,0.958000000000002,"002"
"29734",29.733,1.275,-0.00425,4.859375,0.00078125,0.943999999999999,"002"
"30629",30.628,1.240625,-0.0043125,4.86,0.00078125,0.895,"002"
"31479",31.478,1.221875,-0.0049375,4.860625,0.000625,0.850000000000001,"002"
"32414",32.413,1.246875,-0.0049375,4.86125,0.000625,0.934999999999995,"002"
"33359",33.358,1.221875,-0.0058125,4.859687,0.00078125,0.945,"002"
"34257",34.256,1.240625,-0.005625,4.860313,0.00078125,0.898000000000003,"002"
"35295",35.294,1.303125,-0.005875,4.860625,0.00078125,1.038,"002"
"36354",36.353,1.340625,-0.0054375,4.077813,0.00078125,1.059,"002"
"37328",37.327,1.3,-0.00425,4.860938,0.00046875,0.973999999999997,"002"
"38251",38.25,1.3,-0.0024375,3.460938,0.000625,0.923000000000002,"002"
"39164",39.163,1.15,-0.005625,4.86125,0.000625,0.912999999999997,"002"
"40019",40.018,1.178125,-0.0069375,4.859375,0.00078125,0.855000000000004,"002"
"40847",40.846,1.2375,-0.0051875,4.859687,0.00078125,0.827999999999996,"002"
"41785",41.784,1.296875,-0.0060625,4.664063,0.00078125,0.938000000000002,"002"
"42791",42.79,1.296875,-0.00825,4.860938,0.00046875,1.006,"002"
"43807",43.806,1.325,-0.005,4.86,0.00046875,1.016,"002"
"44856",44.855,1.296875,-0.0043125,4.860313,0.00078125,1.049,"002"
"45827",45.826,1.253125,-0.0063125,4.860313,0.000625,0.971000000000004,"002"
"46686",46.685,1.353125,-0.004375,4.860938,0.000625,0.859000000000002,"002"
"47559",47.558,1.325,-0.0045625,4.860938,0.000625,0.872999999999998,"002"
"48459",48.458,1.275,-0.0049375,4.860625,0.000625,0.899999999999999,"002"
"49337",49.336,1.221875,-0.006375,4.860938,0.0009375,0.878,"002"
"50185",50.184,1.30625,-0.0045,4.569375,0.0009375,0.847999999999999,"002"
"51173",51.172,1.290625,-0.006,4.860938,0.00078125,0.988,"002"
"52215",52.214,1.271875,-0.0064375,4.75,0.00078125,1.042,"002"
"53173",53.172,1.2875,-0.00375,4.632813,0.000625,0.957999999999998,"002"
"54102",54.101,1.2125,-0.003875,4.859375,0.00078125,0.929000000000002,"002"
"54981",54.98,1.128125,-0.0050625,4.860313,0.00078125,0.878999999999998,"002"
"55820",55.819,1.228125,-0.0043125,4.197813,0.00078125,0.839000000000006,"002"
"56729",56.728,1.171875,-0.00475,4.860938,0.000625,0.908999999999999,"002"
"57644",57.643,1.31875,-0.003125,4.860938,0.00078125,0.914999999999999,"002"
"58542",58.541,1.36875,-0.00525,4.680625,0.00078125,0.897999999999996,"002"
"59429",59.428,1.3125,-0.0060625,4.860625,0.000625,0.887,"002"
"60373",60.372,1.328125,-0.0054375,4.4175,0.0009375,0.944000000000003,"002"
"61299",61.298,1.365625,-0.00475,4.861562,0.000625,0.926000000000002,"002"
"62158",62.157,1.328125,-0.005,4.860313,0.00046875,0.858999999999995,"002"
"63099",63.098,1.346875,-0.0041875,4.249688,0.0009375,0.941000000000003,"002"
"64056",64.055,1.309375,-0.00425,4.86,0.00046875,0.957000000000008,"002"
"64935",64.934,1.3875,-0.0041875,4.72875,0.00078125,0.878999999999991,"002"
"65827",65.826,1.33125,-0.005125,4.860938,0.00078125,0.891999999999996,"002"
"66766",66.765,1.328125,-0.00625,4.860938,0.00046875,0.939000000000007,"002"
"67639",67.638,1.35625,-0.005125,3.8375,0.00078125,0.873000000000005,"002"
"68494",68.493,1.26875,-0.004,4.859687,0.0009375,0.85499999999999,"002"
"69416",69.415,1.20625,-0.0045625,4.860313,0.0009375,0.922000000000011,"002"
"70315",70.314,1.2875,-0.006625,4.754688,0.00078125,0.898999999999987,"002"
"71136",71.135,1.290625,-0.005625,4.859063,0.00078125,0.821000000000012,"002"
"72023",72.022,1.259375,-0.00525,4.860938,0.000625,0.887,"002"
"72916",72.915,1.2,-0.005625,4.86125,0.000625,0.893000000000001,"002"
"73751",73.75,1.196875,-0.00625,4.860625,0.00078125,0.834999999999994,"002"
"74563",74.562,1.225,-0.00575,4.86125,0.00078125,0.811999999999998,"002"
"75444",75.443,1.228125,-0.006125,4.860938,0.00046875,0.881,"002"
"76339",76.338,1.29375,-0.0073125,4.350937,0.000625,0.894999999999996,"002"
"77166",77.165,1.375,-0.005125,4.860938,0.00046875,0.827000000000012,"002"
"78011",78.01,1.340625,-0.00575,4.773438,0.00078125,0.844999999999999,"002"
"78923",78.922,1.309375,-0.00525,4.860313,0.00078125,0.911999999999992,"002"
"79814",79.813,1.340625,-0.0060625,4.663125,0.0009375,0.891000000000005,"002"
"80621",80.62,1.39375,-0.0043125,4.860938,0.000625,0.807000000000002,"002"
"81481",81.48,1.375,-0.0055625,4.578125,0.00078125,0.859999999999999,"002"
"82364",82.363,1.228125,-0.0050625,4.860938,0.00109375,0.882999999999996,"002"
"83202",83.201,1.334375,-0.0068125,4.822813,0.00078125,0.837999999999994,"002"
"83988",83.987,1.275,-0.00575,4.860938,0.0009375,0.786000000000001,"002"
"84856",84.855,1.246875,-0.0058125,2.450625,0.00078125,0.868000000000009,"002"
"85753",85.752,1.19375,-0.005625,3.085,0.00078125,0.896999999999991,"002"
"86616",86.615,1.203125,-0.0050625,4.860313,0.00046875,0.863,"002"
"87429",87.428,1.246875,-0.0054375,4.206875,0.000625,0.813000000000002,"002"
"88306",88.305,1.040625,-0.00525,4.86125,0.00078125,0.87700000000001,"002"
"89211",89.21,1.1125,-0.0065625,4.317188,0.00078125,0.904999999999987,"002"
"90029",90.028,1.221875,-0.0039375,4.860938,0.00078125,0.818000000000012,"002"
"90874",90.873,1.328125,-0.0041875,3.992188,0.0009375,0.844999999999999,"002"
"91752",91.751,1.240625,-0.00675,4.838125,0.00078125,0.878,"002"
"92619",92.618,1.278125,-0.0070625,4.1975,0.00078125,0.86699999999999,"002"
"93427",93.426,1.321875,-0.006375,4.626875,0.000625,0.808000000000007,"002"
"94297",94.296,1.2875,-0.0063125,4.859687,0.000625,0.870000000000005,"002"
"95204",95.203,1.36875,-0.005,4.6275,0.00078125,0.906999999999996,"002"
"96079",96.078,1.321875,-0.004625,4.860625,0.0009375,0.875,"002"
"96897",96.896,1.3,-0.0046875,4.85875,0.0009375,0.817999999999998,"002"
"97769",97.768,1.2625,-0.005375,4.86125,0.0009375,0.872,"002"
"98628",98.627,1.29375,-0.0065,3.674375,0.000625,0.858999999999995,"002"
"99416",99.415,1.275,-0.007125,4.86,0.00078125,0.788000000000011,"002"
"100238",100.237,1.1875,-0.005625,4.860938,0.00078125,0.821999999999989,"002"
"101127",101.126,1.26875,-0.006625,4.860313,0.00078125,0.88900000000001,"002"
"101999",101.998,1.34375,-0.005875,3.955313,0.000625,0.872,"002"
"102810",102.809,1.334375,-0.0064375,4.405625,0.00109375,0.810999999999993,"002"
"103689",103.688,1.265625,-0.0053125,4.860313,0.00078125,0.879000000000005,"002"
"104592",104.591,1.228125,-0.0055625,4.359687,0.00078125,0.902999999999992,"002"
"105456",105.455,1.171875,-0.00725,4.860938,0.00078125,0.864000000000004,"002"
"106267",106.266,1.253125,-0.00425,4.020938,0.00078125,0.811000000000007,"002"
"107159",107.158,1.265625,-0.0053125,4.860313,0.00078125,0.891999999999996,"002"
