"","time","adi_ecg","adi_finger","adi_fro","ard_fro","ibi","id"
"815",0.814,1.453125,-0.0085,3.9425,0.00078125,NA,"003"
"2004",2.003,1.434375,-0.0091875,4.862188,0.00078125,1.189,"003"
"3006",3.005,1.421875,-0.010125,4.862188,0.00078125,1.002,"003"
"4152",4.151,1.371875,-0.0075625,4.65625,0.00109375,1.146,"003"
"5219",5.218,1.4375,-0.007375,4.084062,0.00078125,1.067,"003"
"6306",6.305,1.45,-0.0083125,4.861875,0.0009375,1.087,"003"
"7510",7.509,1.428125,-0.0095,4.162187,0.00078125,1.204,"003"
"8730",8.729,1.428125,-0.0105625,4.862188,0.000625,1.22,"003"
"9883",9.882,1.434375,-0.0088125,4.860938,0.00078125,1.153,"003"
"10961",10.96,1.484375,-0.0081875,4.670313,0.0009375,1.078,"003"
"12148",12.147,1.403125,-0.0080625,4.86125,0.0003125,1.187,"003"
"13407",13.406,1.446875,-0.01,4.86125,0.000625,1.259,"003"
"14633",14.632,1.3375,-0.0079375,4.731562,0.00078125,1.226,"003"
"15748",15.747,1.525,-0.00775,4.8625,0.0009375,1.115,"003"
"16855",16.854,1.384375,-0.007625,4.8625,0.000625,1.107,"003"
"18090",18.089,1.396875,-0.009,4.386563,0.00078125,1.235,"003"
"19366",19.365,1.415625,-0.0085625,4.194063,0.00078125,1.276,"003"
"20649",20.648,1.390625,-0.0074375,4.054375,0.0009375,1.283,"003"
"21782",21.781,1.43125,-0.0051875,4.5525,0.00078125,1.133,"003"
"23003",23.002,1.45,-0.008,4.862188,0.00078125,1.221,"003"
"24270",24.269,1.475,-0.008875,4.862188,0.00046875,1.267,"003"
"25476",25.475,1.409375,-0.0081875,4.087187,0.000625,1.206,"003"
"26642",26.641,1.465625,-0.0068125,4.862188,0.00046875,1.166,"003"
"27845",27.844,1.375,-0.008625,4.860625,0.0009375,1.203,"003"
"29070",29.069,1.43125,-0.0106875,4.525,0.00046875,1.225,"003"
"30217",30.216,1.440625,-0.0106875,4.862188,0.00078125,1.147,"003"
"31340",31.339,1.3875,-0.009125,4.860938,0.00078125,1.123,"003"
"32536",32.535,1.4,-0.010125,4.033437,0.00046875,1.196,"003"
"33717",33.716,1.44375,-0.010625,4.232188,0.000625,1.181,"003"
"34801",34.8,1.5,-0.01025,4.8625,0.00078125,1.084,"003"
"35953",35.952,1.43125,-0.0115625,4.862188,0.000625,1.152,"003"
"37189",37.188,1.409375,-0.015375,4.860313,0.00078125,1.236,"003"
"38376",38.375,1.471875,-0.0143125,4.862188,0.00078125,1.187,"003"
"39506",39.505,1.41875,-0.01425,3.805938,0.00078125,1.13,"003"
"40735",40.734,1.453125,-0.0151875,4.861875,0.000625,1.229,"003"
"41954",41.953,1.478125,-0.015625,4.8625,0.00078125,1.219,"003"
"43067",43.066,1.471875,-0.0153125,4.8625,0.00078125,1.113,"003"
"44127",44.126,1.409375,-0.0181875,4.862188,0.00078125,1.06,"003"
"45275",45.274,1.434375,-0.015625,4.650938,0.00078125,1.148,"003"
"46429",46.428,1.36875,-0.016125,4.861875,0.00078125,1.154,"003"
"47486",47.485,1.5,-0.0155,4.861875,0.000625,1.057,"003"
"48451",48.45,1.465625,-0.0168125,4.709688,0.00078125,0.965000000000003,"003"
"49542",49.541,1.5125,-0.0180625,4.862813,0.00078125,1.09099999999999,"003"
"50750",50.749,1.34375,-0.0165,4.860938,0.000625,1.20800000000001,"003"
"51959",51.958,1.415625,-0.016375,4.860625,0.0009375,1.209,"003"
"53031",53.03,1.375,-0.0129375,4.860313,0.00078125,1.072,"003"
"54165",54.164,1.41875,-0.0146875,4.210625,0.0009375,1.134,"003"
"55344",55.343,1.415625,-0.014875,4.860625,0.0009375,1.179,"003"
"56451",56.45,1.484375,-0.0135625,4.862813,0.00078125,1.107,"003"
"57461",57.46,1.45625,-0.0120625,4.5275,0.000625,1.01,"003"
"58515",58.514,1.378125,-0.01375,3.604062,0.0009375,1.054,"003"
"59653",59.652,1.3625,-0.016,4.860938,0.000625,1.138,"003"
"60755",60.754,1.434375,-0.0138125,4.117813,0.0009375,1.102,"003"
"61817",61.816,1.428125,-0.014125,4.862188,0.0009375,1.062,"003"
"62987",62.986,1.45,-0.0135625,4.430937,0.000625,1.16999999999999,"003"
"64171",64.17,1.453125,-0.013875,4.861875,0.00078125,1.184,"003"
"65265",65.264,1.390625,-0.009125,4.860938,0.00078125,1.09399999999999,"003"
"66405",66.404,1.378125,-0.0140625,4.8125,0.000625,1.14,"003"
"67589",67.588,1.421875,-0.0136875,4.429375,0.000625,1.184,"003"
"68728",68.727,1.434375,-0.0150625,4.861875,0.0009375,1.13900000000001,"003"
"69796",69.795,1.45,-0.016,4.8625,0.00078125,1.068,"003"
"70919",70.918,1.359375,-0.0168125,4.862188,0.00078125,1.123,"003"
"72065",72.064,1.409375,-0.0183125,4.770625,0.00078125,1.14599999999999,"003"
"73142",73.141,1.371875,-0.0158125,4.861562,0.00046875,1.07700000000001,"003"
"74264",74.263,1.4,-0.0161875,4.464062,0.0009375,1.122,"003"
"75423",75.422,1.40625,-0.015125,4.862188,0.00078125,1.15899999999999,"003"
"76531",76.53,1.446875,-0.0148125,4.862188,0.00078125,1.108,"003"
"77536",77.535,1.41875,-0.0170625,4.860938,0.00078125,1.005,"003"
"78580",78.579,1.425,-0.019125,4.165312,0.000625,1.044,"003"
"79738",79.737,1.371875,-0.017,4.860625,0.00078125,1.158,"003"
"80871",80.87,1.35,-0.01425,4.86125,0.00078125,1.13300000000001,"003"
"81940",81.939,1.428125,-0.013,4.042813,0.0009375,1.06899999999999,"003"
"83116",83.115,1.44375,-0.0138125,4.862188,0.0009375,1.176,"003"
"84286",84.285,1.396875,-0.0141875,4.495312,0.00078125,1.17,"003"
"85380",85.379,1.475,-0.014375,4.861562,0.00046875,1.09400000000001,"003"
"86367",86.366,1.428125,-0.0166875,4.741875,0.00078125,0.986999999999995,"003"
"87449",87.448,1.459375,-0.0176875,4.862188,0.00078125,1.08199999999999,"003"
"88584",88.583,1.396875,-0.017375,4.861562,0.000625,1.13500000000001,"003"
"89672",89.671,1.375,-0.0135,3.900625,0.000625,1.08800000000001,"003"
"90668",90.667,1.3625,-0.0106875,4.861562,0.000625,0.995999999999995,"003"
"91737",91.736,1.44375,-0.0115625,4.862188,0.000625,1.069,"003"
"92893",92.892,1.3875,-0.0129375,3.91375,0.00078125,1.15599999999999,"003"
"94025",94.024,1.45,-0.0124375,4.382813,0.00078125,1.13200000000001,"003"
"95030",95.029,1.50625,-0.012,4.861875,0.000625,1.005,"003"
"96049",96.048,1.4625,-0.0145625,4.862188,0.00078125,1.01900000000001,"003"
"97135",97.134,1.459375,-0.0165,4.862813,0.00109375,1.086,"003"
"98221",98.22,1.41875,-0.016375,4.861875,0.00078125,1.086,"003"
"99234",99.233,1.4125,-0.013125,4.86125,0.00078125,1.01300000000001,"003"
"100325",100.324,1.403125,-0.0139375,4.860938,0.000625,1.09099999999999,"003"
