"","time","adi_ecg","adi_finger","adi_fro","ard_fro","ibi","id"
"494",0.493,1.3125,-0.001625,4.930313,4.951875,NA,"004"
"1431",1.43,1.55625,-0.0049375,4.924062,4.951875,0.937,"004"
"2372",2.371,1.19375,-0.002625,4.94125,4.952344,0.941,"004"
"3219",3.218,0.86875,-0.00375,4.954688,4.951875,0.847,"004"
"4078",4.077,1.25625,-0.001375,4.954688,4.951875,0.859,"004"
"4939",4.938,1.353125,-0.00425,4.951563,4.951875,0.861,"004"
"5892",5.891,1.140625,-0.005125,4.950625,4.952344,0.953,"004"
"6883",6.882,0.78125,-0.0043125,4.95625,4.952656,0.991,"004"
"7905",7.904,1.70625,-0.009375,4.935625,4.952188,1.022,"004"
"8808",8.807,1.66875,-0.002625,4.937188,4.952031,0.903,"004"
"9648",9.647,1.1,-0.002875,4.950625,4.951875,0.84,"004"
"10554",10.553,-0.209375,-0.0051875,4.963125,4.951875,0.906000000000001,"004"
"11407",11.406,-0.14375,-0.0023125,4.964688,4.950938,0.853,"004"
"12289",12.288,1.3875,-0.004375,4.957187,4.952188,0.882,"004"
"13238",13.237,1.18125,-0.0045625,4.955312,4.952344,0.949,"004"
"14238",14.237,-0.55625,-0.00475,4.963125,4.950469,1,"004"
"15123",15.122,-0.21875,-0.0040625,4.96375,4.950938,0.885,"004"
"16007",16.006,1.36875,-0.0044375,4.957813,4.9525,0.884,"004"
"17048",17.047,1.578125,-0.005625,4.94625,4.952188,1.041,"004"
"18195",18.194,1.484375,-0.0029375,4.95,4.952031,1.147,"004"
"19184",19.183,-0.171875,-0.00675,4.963438,4.951094,0.989000000000001,"004"
"20146",20.145,1.30625,-0.0049375,4.950625,4.952031,0.962,"004"
"21218",21.217,1.525,-0.0046875,4.938438,4.952656,1.072,"004"
"22329",22.328,1.228125,-0.0044375,4.935313,4.951875,1.111,"004"
"23349",23.348,1.29375,-0.005875,4.935625,4.952813,1.02,"004"
"24411",24.41,1.44375,-0.004875,4.929375,4.9525,1.062,"004"
"25463",25.462,0.909375,-0.0054375,4.935625,4.952031,1.052,"004"
"26435",26.434,1.365625,-0.00525,4.919688,4.081875,0.972000000000001,"004"
"27441",27.44,1.428125,-0.0054375,4.945,4.952344,1.006,"004"
"28436",28.435,0.628125,-0.00525,4.954688,4.953437,0.994999999999997,"004"
"29409",29.408,1.38125,-0.0044375,4.942813,4.952656,0.973000000000003,"004"
"30437",30.436,1.4375,-0.00575,4.945625,4.951563,1.028,"004"
"31478",31.477,0.509375,-0.0050625,4.957813,4.952813,1.041,"004"
"32497",32.496,1.58125,-0.0055625,4.94875,4.951406,1.019,"004"
