"","time","adi_ecg","adi_finger","adi_fro","ard_fro","ibi","id"
"819",0.818,1.809375,-0.0091875,4.8625,4.967344,NA,"003"
"2009",2.008,1.73125,-0.009375,4.91,4.962969,1.19,"003"
"3012",3.011,1.6875,-0.0105,4.924688,4.964062,1.003,"003"
"4159",4.158,1.66875,-0.0074375,4.929688,4.962656,1.147,"003"
"5226",5.225,1.64375,-0.0075625,4.928438,4.963594,1.067,"003"
"6312",6.311,1.753125,-0.008375,4.924688,4.96375,1.086,"003"
"7518",7.517,1.878125,-0.01,4.935625,4.962969,1.206,"003"
"8737",8.736,1.740625,-0.0109375,4.933125,4.964062,1.219,"003"
"9889",9.888,1.771875,-0.008,4.920625,4.963906,1.152,"003"
"10968",10.967,1.85625,-0.008,4.929688,4.96375,1.079,"003"
"12153",12.152,1.775,-0.0081875,4.907188,4.963594,1.185,"003"
"13414",13.413,1.85,-0.010625,4.929688,4.963438,1.261,"003"
"14639",14.638,1.66875,-0.0085,4.917813,4.964062,1.225,"003"
"15751",15.75,1.64375,-0.007375,4.881563,4.964219,1.112,"003"
"16858",16.857,1.45,-0.0076875,4.880625,4.96375,1.107,"003"
"18095",18.094,1.615625,-0.00925,4.9025,4.962813,1.237,"003"
"19370",19.369,1.671875,-0.008875,4.8825,4.962969,1.275,"003"
"20654",20.653,1.54375,-0.00775,4.899687,4.974063,1.284,"003"
"21788",21.787,1.63125,-0.0053125,4.918125,4.964062,1.134,"003"
"23008",23.007,1.765625,-0.0088125,4.909688,4.963594,1.22,"003"
"24274",24.273,1.696875,-0.0089375,4.895625,4.963438,1.266,"003"
"25480",25.479,1.603125,-0.0081875,4.882813,4.95125,1.206,"003"
"26644",26.643,1.546875,-0.0068125,4.862813,4.947969,1.164,"003"
"27851",27.85,1.771875,-0.009,4.919688,4.947656,1.207,"003"
"29076",29.075,1.709375,-0.0109375,4.915625,4.9475,1.225,"003"
"30223",30.222,1.709375,-0.010875,4.924062,4.948281,1.147,"003"
"31345",31.344,1.70625,-0.00875,4.907813,4.951406,1.122,"003"
"32542",32.541,1.68125,-0.0105,4.915625,4.951094,1.197,"003"
"33722",33.721,1.75,-0.0109375,4.902813,4.951406,1.18,"003"
"34806",34.805,1.725,-0.0104375,4.915625,4.951563,1.084,"003"
"35958",35.957,1.753125,-0.0115625,4.909063,4.951563,1.152,"003"
"37193",37.192,1.603125,-0.0154375,4.889688,4.951406,1.235,"003"
"38380",38.379,1.603125,-0.01425,4.894687,4.951875,1.187,"003"
"39511",39.51,1.7125,-0.0144375,4.902188,4.951406,1.131,"003"
"40741",40.74,1.846875,-0.0155625,4.921563,4.951719,1.23,"003"
"41960",41.959,1.684375,-0.015875,4.9225,4.951406,1.219,"003"
"43071",43.07,1.634375,-0.0153125,4.90125,4.951406,1.111,"003"
"44131",44.13,1.6375,-0.018125,4.896562,4.951406,1.06,"003"
"45281",45.28,1.80625,-0.015875,4.918125,4.952188,1.15,"003"
"46435",46.434,1.7375,-0.0159375,4.922187,4.95125,1.154,"003"
"47495",47.494,1.6375,-0.0148125,4.950625,4.951406,1.06,"003"
"48458",48.457,1.70625,-0.0175,4.931563,4.951719,0.963000000000001,"003"
"49548",49.547,1.721875,-0.018,4.92625,4.950781,1.09,"003"
"50757",50.756,1.80625,-0.0170625,4.929062,4.951094,1.209,"003"
"51966",51.965,1.815625,-0.0165625,4.93,4.951719,1.209,"003"
"53038",53.037,1.665625,-0.013125,4.932188,4.951406,1.072,"003"
"54170",54.169,1.6375,-0.014875,4.902813,4.952813,1.132,"003"
"55351",55.35,1.546875,-0.01525,4.93,4.951094,1.181,"003"
"56477",56.476,-0.45,-0.0135,4.966875,4.95,1.126,"003"
"57468",57.467,1.740625,-0.012,4.930313,4.951875,0.991,"003"
"58523",58.522,1.7,-0.0129375,4.937188,4.952188,1.055,"003"
"59659",59.658,1.584375,-0.016125,4.92125,4.951719,1.136,"003"
"60761",60.76,1.521875,-0.014,4.917187,4.951563,1.102,"003"
"61823",61.822,1.69375,-0.0133125,4.924688,4.950938,1.062,"003"
"62994",62.993,1.8125,-0.0129375,4.928125,4.951406,1.171,"003"
"64177",64.176,1.703125,-0.0141875,4.922813,4.951719,1.183,"003"
"65270",65.269,1.5875,-0.0089375,4.907813,4.951719,1.093,"003"
"66413",66.412,1.759375,-0.0136875,4.93875,4.951406,1.143,"003"
"67596",67.595,1.78125,-0.0141875,4.9275,4.951563,1.18299999999999,"003"
"68734",68.733,1.74375,-0.0155625,4.923438,4.951875,1.13800000000001,"003"
"69801",69.8,1.690625,-0.0160625,4.915,4.951563,1.06699999999999,"003"
"70925",70.924,1.6,-0.016875,4.922813,4.951563,1.12400000000001,"003"
"72067",72.066,1.41875,-0.0183125,4.862813,4.951875,1.142,"003"
"73148",73.147,1.634375,-0.015875,4.922187,4.951094,1.081,"003"
"74269",74.268,1.603125,-0.0163125,4.905,4.953281,1.121,"003"
"75429",75.428,1.675,-0.015375,4.923125,4.952031,1.16,"003"
"76536",76.535,1.634375,-0.0149375,4.913125,4.952031,1.107,"003"
"77541",77.54,1.6625,-0.017125,4.910938,4.951875,1.00500000000001,"003"
"78587",78.586,1.671875,-0.0193125,4.92875,4.952188,1.04599999999999,"003"
"79746",79.745,1.6625,-0.0175,4.93875,4.951563,1.15900000000001,"003"
"80879",80.878,1.60625,-0.014625,4.939687,4.951719,1.133,"003"
"81948",81.947,1.65,-0.013125,4.937188,4.951563,1.069,"003"
"83122",83.121,1.69375,-0.01425,4.923125,4.952031,1.17399999999999,"003"
"84293",84.292,1.671875,-0.0145,4.92875,4.951563,1.17100000000001,"003"
"85384",85.383,1.609375,-0.0140625,4.89875,4.951563,1.09099999999999,"003"
"86372",86.371,1.6,-0.0160625,4.90875,4.952188,0.988,"003"
"87456",87.455,1.7125,-0.0175,4.935313,4.951719,1.084,"003"
"88591",88.59,1.625,-0.0175625,4.933438,2.654844,1.13500000000001,"003"
"89678",89.677,1.440625,-0.0135625,4.917187,4.952188,1.087,"003"
"90673",90.672,1.50625,-0.011,4.912187,4.952031,0.99499999999999,"003"
"91740",91.739,1.603125,-0.01175,4.884688,4.179688,1.06700000000001,"003"
"92897",92.896,1.625,-0.01325,4.884688,4.951875,1.157,"003"
"94030",94.029,1.6,-0.0119375,4.904063,4.953125,1.133,"003"
"95036",95.035,1.596875,-0.0119375,4.92625,4.952031,1.006,"003"
"96055",96.054,1.65625,-0.014875,4.9275,4.951875,1.01900000000001,"003"
"97141",97.14,1.6625,-0.0166875,4.925,4.953437,1.086,"003"
"98227",98.226,1.709375,-0.015625,4.923125,4.951719,1.086,"003"
"99242",99.241,1.628125,-0.013125,4.94125,4.951563,1.015,"003"
"100331",100.33,1.71875,-0.0143125,4.92125,4.951719,1.089,"003"
"101466",101.465,1.54375,-0.0165,4.905625,4.952031,1.13500000000001,"003"
"102538",102.537,1.6125,-0.0113125,4.91,4.952188,1.072,"003"
"103536",103.535,1.740625,-0.0140625,4.932188,4.952188,0.99799999999999,"003"
"104615",104.614,1.734375,-0.0168125,4.938125,4.952031,1.07900000000001,"003"
"105743",105.742,1.66875,-0.0165625,4.936875,4.95125,1.128,"003"
"106869",106.868,1.553125,-0.016125,4.879688,4.952344,1.12599999999999,"003"
"107917",107.916,1.621875,-0.018,4.889688,3.707031,1.048,"003"
"109001",109,1.53125,-0.01825,4.875625,4.951563,1.084,"003"
"110125",110.124,1.5125,-0.019,4.906562,4.952344,1.124,"003"
"111234",111.233,1.525,-0.014875,4.89875,4.952188,1.10900000000001,"003"
"112268",112.267,1.540625,-0.0155625,4.887188,4.951719,1.03399999999999,"003"
"113371",113.37,1.61875,-0.014875,4.899063,4.951563,1.10300000000001,"003"
"114506",114.505,1.6125,-0.0155,4.885625,4.951875,1.13499999999999,"003"
"115628",115.627,1.528125,-0.0146875,4.877187,4.951563,1.122,"003"
"116654",116.653,1.65,-0.0175,4.9075,4.952344,1.02600000000001,"003"
"117743",117.742,1.765625,-0.0194375,4.942813,4.951875,1.089,"003"
"118916",118.915,1.815625,-0.0153125,4.929688,4.951563,1.173,"003"
"120073",120.072,1.603125,-0.014375,4.894687,4.952188,1.157,"003"
"121142",121.141,1.665625,-0.0148125,4.91125,4.9525,1.069,"003"
"122280",122.279,1.628125,-0.015625,4.892188,4.95125,1.13799999999999,"003"
"123501",123.5,1.559375,-0.017625,4.875,4.951875,1.221,"003"
"124662",124.661,1.578125,-0.0161875,4.8975,4.95875,1.161,"003"
"125730",125.729,1.675,-0.0188125,4.92375,4.951875,1.068,"003"
"126879",126.878,1.621875,-0.0178125,4.876563,4.953906,1.149,"003"
"128081",128.08,1.54375,-0.0194375,4.895,4.952031,1.20200000000001,"003"
"129191",129.19,1.56875,-0.0156875,4.916875,4.951563,1.10999999999999,"003"
"130281",130.28,1.7625,-0.016375,4.924062,4.9525,1.09,"003"
"131415",131.414,1.690625,-0.0169375,4.935625,4.952188,1.13399999999999,"003"
"132536",132.535,1.63125,-0.0161875,4.922813,4.952031,1.12100000000001,"003"
"133565",133.564,1.696875,-0.01575,4.902188,4.952188,1.029,"003"
"134663",134.662,1.75625,-0.016875,4.919062,4.952344,1.09800000000001,"003"
"135839",135.838,1.653125,-0.019625,4.897188,4.952188,1.17599999999999,"003"
"136972",136.971,1.703125,-0.0173125,4.902188,4.952656,1.13300000000001,"003"
"138041",138.04,1.76875,-0.019125,4.922187,4.952188,1.06899999999999,"003"
"139177",139.176,1.809375,-0.0204375,4.942188,4.952031,1.136,"003"
"140314",140.313,1.715625,-0.01975,4.93125,4.862188,1.137,"003"
"141336",141.335,1.61875,-0.0209375,4.906562,4.960938,1.02200000000002,"003"
"142401",142.4,1.6875,-0.021875,4.915625,4.9525,1.065,"003"
"143553",143.552,1.59375,-0.0218125,4.890625,4.952031,1.15199999999999,"003"
"144672",144.671,1.659375,-0.0208125,4.903125,4.952656,1.119,"003"
"145729",145.728,1.715625,-0.0240625,4.902188,3.199844,1.05700000000002,"003"
"146858",146.857,1.671875,-0.021875,4.918438,4.951563,1.12899999999999,"003"
"148046",148.045,1.625,-0.0231875,4.904063,4.952031,1.18799999999999,"003"
"149151",149.15,1.671875,-0.021,4.920313,4.952031,1.10500000000002,"003"
"150213",150.212,1.66875,-0.0258125,4.88875,4.952188,1.06199999999998,"003"
"151349",151.348,1.721875,-0.0210625,4.912187,4.952188,1.13600000000002,"003"
"152489",152.488,1.696875,-0.0215625,4.922813,4.951875,1.13999999999999,"003"
"153520",153.519,1.6375,-0.0240625,4.918125,4.953281,1.03100000000001,"003"
"154580",154.579,1.746875,-0.02475,4.924688,4.95375,1.06,"003"
"155711",155.71,1.75,-0.0224375,4.901562,4.953437,1.131,"003"
"156828",156.827,1.6375,-0.021,4.917813,4.951563,1.11699999999999,"003"
"157883",157.882,1.7375,-0.0246875,4.898125,4.952188,1.05500000000001,"003"
"159024",159.023,1.771875,-0.0226875,4.922187,4.952344,1.14099999999999,"003"
"160202",160.201,1.6375,-0.0248125,4.918125,4.952031,1.178,"003"
"161330",161.329,1.5875,-0.02275,4.866875,4.954844,1.12800000000001,"003"
"162360",162.359,1.7125,-0.0250625,4.9225,4.952344,1.03,"003"
"163420",163.419,1.6875,-0.0243125,4.9175,4.952188,1.06,"003"
"164527",164.526,1.6125,-0.0243125,4.892188,4.952031,1.107,"003"
"165622",165.621,1.53125,-0.02225,4.880625,4.951875,1.095,"003"
"166613",166.612,1.69375,-0.02775,4.916563,4.9525,0.990999999999985,"003"
"167697",167.696,1.68125,-0.025125,4.909688,4.951719,1.084,"003"
"168832",168.831,1.621875,-0.02325,4.909688,4.951719,1.13499999999999,"003"
"169878",169.877,1.753125,-0.0214375,4.936875,4.952344,1.04600000000002,"003"
"170978",170.977,1.80625,-0.019,4.922187,4.952031,1.09999999999999,"003"
"172132",172.131,1.7125,-0.018125,4.9075,4.951719,1.154,"003"
"173244",173.243,1.65625,-0.018,4.9125,4.951875,1.11199999999999,"003"
"174252",174.251,1.684375,-0.020875,4.93125,4.951875,1.00800000000001,"003"
"175319",175.318,1.759375,-0.0219375,4.913437,4.952344,1.06700000000001,"003"
"176421",176.42,1.765625,-0.0204375,4.930313,4.951563,1.10199999999998,"003"
"177453",177.452,1.68125,-0.0236875,4.918125,4.952031,1.03200000000001,"003"
"178468",178.467,1.775,-0.0238125,4.924688,4.951875,1.01500000000001,"003"
"179601",179.6,1.70625,-0.022625,4.919688,4.951875,1.13299999999998,"003"
"180763",180.762,1.60625,-0.022125,4.924688,4.952031,1.16200000000001,"003"
"181832",181.831,1.69375,-0.023,4.923125,4.952031,1.06899999999999,"003"
"182930",182.929,1.66875,-0.024375,4.912187,4.952344,1.09800000000001,"003"
"184058",184.057,1.54375,-0.023,4.904375,4.9525,1.12799999999999,"003"
"185140",185.139,1.575,-0.023875,4.892812,4.952031,1.08200000000002,"003"
"186161",186.16,1.596875,-0.0258125,4.875625,4.9525,1.02099999999999,"003"
"187292",187.291,1.61875,-0.02425,4.905,4.952188,1.131,"003"
"188501",188.5,1.590625,-0.026,4.89375,4.952188,1.209,"003"
"189611",189.61,1.64375,-0.023875,4.915625,4.952188,1.11000000000001,"003"
"190742",190.741,1.69375,-0.02575,4.905625,4.952188,1.131,"003"
"191899",191.898,1.725,-0.025875,4.928125,4.9525,1.15699999999998,"003"
"193025",193.024,1.59375,-0.0254375,4.90875,4.952031,1.126,"003"
"194044",194.043,1.665625,-0.03175,4.923125,4.952656,1.01900000000001,"003"
"195093",195.092,1.753125,-0.03075,4.923125,4.952344,1.04900000000001,"003"
"196214",196.213,1.734375,-0.0266875,4.927812,4.951719,1.12099999999998,"003"
"197293",197.292,1.628125,-0.0289375,4.912813,4.952031,1.07900000000001,"003"
"198315",198.314,1.60625,-0.032,4.905,4.952031,1.02199999999999,"003"
"199413",199.412,1.571875,-0.026375,4.900313,4.952188,1.09800000000001,"003"
"200562",200.561,1.521875,-0.025,4.917187,4.952031,1.149,"003"
"201627",201.626,1.5625,-0.0270625,4.945313,4.951563,1.065,"003"
"202720",202.719,1.659375,-0.028375,4.93125,4.952188,1.09299999999999,"003"
"203869",203.868,1.5125,-0.027125,4.88,4.952656,1.149,"003"
"204974",204.973,1.4875,-0.027375,4.888125,4.9525,1.10500000000002,"003"
"206006",206.005,1.646875,-0.033875,4.900938,4.952031,1.03199999999998,"003"
"207115",207.114,1.759375,-0.0291875,4.927188,4.952188,1.10900000000001,"003"
"208265",208.264,1.678125,-0.025875,4.939687,4.952188,1.15000000000001,"003"
"209339",209.338,1.640625,-0.029625,4.947188,4.952031,1.07399999999998,"003"
"210451",210.45,1.6875,-0.027625,4.920313,4.951875,1.11199999999999,"003"
"211610",211.609,1.659375,-0.028125,4.910312,4.9525,1.15900000000002,"003"
"212741",212.74,1.765625,-0.0269375,4.928125,4.952188,1.131,"003"
"213775",213.774,1.796875,-0.035125,4.924062,4.952031,1.03399999999999,"003"
"214844",214.843,1.74375,-0.0365,4.92125,4.952656,1.06899999999999,"003"
"215964",215.963,1.58125,-0.02925,4.938125,4.952344,1.12,"003"
"217047",217.046,1.525,-0.02925,4.906875,4.951875,1.083,"003"
"218034",218.033,1.684375,-0.03225,4.924688,4.952031,0.986999999999995,"003"
"219072",219.071,1.74375,-0.0305,4.933125,4.951875,1.03800000000001,"003"
"220265",220.264,1.803125,-0.0253125,4.934375,4.953125,1.19300000000001,"003"
"221448",221.447,1.61875,-0.0260625,4.904375,4.952344,1.18299999999999,"003"
"222541",222.54,1.7125,-0.025875,4.931563,4.951875,1.09299999999999,"003"
"223711",223.71,1.74375,-0.024,4.91125,4.940469,1.17000000000002,"003"
"224897",224.896,1.7875,-0.0280625,4.94,4.952031,1.18599999999998,"003"
"226042",226.041,1.753125,-0.0264375,4.921563,4.9525,1.14500000000001,"003"
"227097",227.096,1.615625,-0.0245,4.918125,4.951875,1.05500000000001,"003"
"228160",228.159,1.778125,-0.0235625,4.9225,4.952813,1.06299999999999,"003"
"229271",229.27,1.840625,-0.021625,4.91375,4.953125,1.11100000000002,"003"
"230355",230.354,1.71875,-0.0195625,4.935313,4.952031,1.084,"003"
"231367",231.366,1.696875,-0.0233125,4.910625,4.9525,1.012,"003"
"232520",232.519,1.796875,-0.0211875,4.939063,4.9525,1.15299999999999,"003"
"233705",233.704,1.559375,-0.0223125,4.907188,4.952031,1.185,"003"
"234777",234.776,1.625,-0.024,4.903437,4.952031,1.072,"003"
"235891",235.89,1.71875,-0.0258125,4.919688,4.951719,1.11399999999998,"003"
"237027",237.026,1.534375,-0.025375,4.914688,4.952188,1.13600000000002,"003"
"238086",238.085,1.603125,-0.0294375,4.910625,4.951719,1.059,"003"
"239189",239.188,1.696875,-0.0280625,4.92125,4.952813,1.10299999999998,"003"
"240346",240.345,1.63125,-0.0269375,4.924688,4.952031,1.15700000000001,"003"
"241429",241.428,1.721875,-0.0284375,4.929062,4.952344,1.083,"003"
"242477",242.476,1.65625,-0.034375,4.919688,4.953125,1.048,"003"
"243603",243.602,1.628125,-0.026875,4.917813,4.952344,1.126,"003"
"244770",244.769,1.634375,-0.026375,4.925,4.952813,1.167,"003"
"245834",245.833,1.759375,-0.03025,4.923125,4.952188,1.06399999999999,"003"
"246898",246.897,1.803125,-0.0339375,4.92375,4.953906,1.06399999999999,"003"
"247996",247.995,1.784375,-0.0310625,4.922187,4.951875,1.09800000000001,"003"
"249070",249.069,1.678125,-0.0318125,4.902813,4.952031,1.07399999999998,"003"
"250062",250.061,1.678125,-0.0356875,4.914688,4.952344,0.992000000000019,"003"
"251060",251.059,1.684375,-0.03475,4.917813,4.951719,0.99799999999999,"003"
"252103",252.102,1.659375,-0.029,4.904688,4.951875,1.04300000000001,"003"
"253109",253.108,1.6,-0.0321875,4.918438,4.952344,1.006,"003"
"254145",254.144,1.646875,-0.03075,4.916563,4.952188,1.036,"003"
"255325",255.324,1.665625,-0.026,4.91375,4.952031,1.18000000000001,"003"
"256522",256.521,1.6875,-0.0280625,4.919062,4.952344,1.197,"003"
"257610",257.609,1.634375,-0.0263125,4.915625,4.350156,1.08799999999997,"003"
"258730",258.729,1.73125,-0.0261875,4.92875,4.952031,1.12,"003"
"259865",259.864,1.66875,-0.02625,4.910625,4.951875,1.13499999999999,"003"
"260911",260.91,1.5875,-0.0305,4.903437,4.952188,1.04600000000005,"003"
"261928",261.927,1.596875,-0.032875,4.8925,4.952031,1.017,"003"
"263035",263.034,1.575,-0.0264375,4.892812,4.951563,1.10699999999997,"003"
"264194",264.193,1.5625,-0.025125,4.924688,4.9525,1.15899999999999,"003"
"265287",265.286,1.615625,-0.027375,4.940625,4.952188,1.09300000000002,"003"
"266345",266.344,1.74375,-0.033,4.9425,4.952344,1.05799999999999,"003"
"267466",267.465,1.79375,-0.01775,4.933125,4.950938,1.12099999999998,"003"
"268607",268.606,1.64375,-0.026125,4.900938,4.952188,1.14100000000002,"003"
"269674",269.673,1.621875,-0.0221875,4.925625,4.952031,1.06700000000001,"003"
"270736",270.735,1.665625,-0.02325,4.941562,4.952188,1.06200000000001,"003"
"271850",271.849,1.70625,-0.0195,4.935,4.951719,1.11399999999998,"003"
"272926",272.925,1.7375,-0.019875,4.924688,4.952969,1.07600000000002,"003"
"274017",274.016,1.63125,-0.0206875,4.917187,4.952188,1.09100000000001,"003"
"275141",275.14,1.759375,-0.0264375,4.9225,4.950781,1.12399999999997,"003"
"276113",276.112,1.73125,-0.0326875,4.932188,4.952656,0.972000000000037,"003"
"277196",277.195,1.68125,-0.030125,4.924688,4.953125,1.08299999999997,"003"
"278292",278.291,1.75625,-0.028125,4.93625,4.952969,1.096,"003"
"279276",279.275,1.690625,-0.0345,4.924688,4.952188,0.98399999999998,"003"
"280279",280.278,1.659375,-0.0351875,4.944063,4.953125,1.00300000000004,"003"
"281331",281.33,1.684375,-0.032625,4.940625,4.952969,1.05199999999996,"003"
"282398",282.397,1.6625,-0.029625,4.93,4.953125,1.06700000000001,"003"
"283409",283.408,1.721875,-0.03425,4.937188,4.953125,1.01100000000002,"003"
"284473",284.472,1.803125,-0.0321875,4.939063,4.952813,1.06399999999996,"003"
"285623",285.622,1.73125,-0.02725,4.944687,4.952188,1.15000000000003,"003"
"286742",286.741,1.50625,-0.0270625,4.94625,4.952344,1.11899999999997,"003"
"287764",287.763,1.6,-0.036125,4.942188,4.951875,1.02199999999999,"003"
"288816",288.815,1.715625,-0.0339375,4.935625,4.951719,1.05200000000002,"003"
"289919",289.918,1.65,-0.0305,4.93625,4.952031,1.10300000000001,"003"
"290957",290.956,1.528125,-0.03425,4.915312,4.952969,1.03800000000001,"003"
"291913",291.912,1.60625,-0.0344375,4.927812,4.952031,0.95599999999996,"003"
"292952",292.951,1.78125,-0.0373125,4.931563,4.9525,1.03900000000004,"003"
"294040",294.039,1.65,-0.028,4.934063,4.952188,1.08799999999997,"003"
"295033",295.032,1.73125,-0.0333125,4.93125,4.952188,0.992999999999995,"003"
"296069",296.068,1.75625,-0.0303125,4.920625,4.952344,1.036,"003"
"297202",297.201,1.6875,-0.03075,4.933125,4.952188,1.13300000000004,"003"
"298274",298.273,1.634375,-0.0271875,4.932188,4.952031,1.072,"003"
"299286",299.285,1.778125,-0.03075,4.939687,4.952344,1.012,"003"
"300355",300.354,1.828125,-0.0303125,4.932188,4.952344,1.06899999999996,"003"
"301447",301.446,1.7125,-0.027875,4.922187,4.952969,1.09200000000004,"003"
"302443",302.442,1.671875,-0.0335625,4.903125,4.951875,0.995999999999981,"003"
"303498",303.497,1.7125,-0.0320625,4.9275,4.952188,1.05500000000001,"003"
"304572",304.571,1.71875,-0.033375,4.93625,4.952188,1.07400000000001,"003"
"305539",305.538,1.7375,-0.0333125,4.93,4.626094,0.966999999999985,"003"
"306490",306.489,1.803125,-0.037125,4.936563,4.951406,0.950999999999965,"003"
"307538",307.537,1.70625,-0.036625,4.94,4.951875,1.048,"003"
"308602",308.601,1.640625,-0.0335625,4.923438,4.953125,1.06400000000002,"003"
"309575",309.574,1.625,-0.0385,4.927188,4.952188,0.973000000000013,"003"
"310584",310.583,1.753125,-0.0405625,4.93,4.953125,1.00900000000001,"003"
"311672",311.671,1.790625,-0.03625,4.933125,4.953125,1.08799999999997,"003"
"312727",312.726,1.728125,-0.0369375,4.9125,4.951875,1.05500000000001,"003"
"313714",313.713,1.8625,-0.0418125,4.939375,4.952031,0.987000000000023,"003"
"314749",314.748,1.746875,-0.041625,4.919688,4.2725,1.03499999999997,"003"
"315840",315.839,1.690625,-0.0341875,4.93125,4.952031,1.09100000000001,"003"
"316874",316.873,1.540625,-0.0385,4.897188,4.952188,1.03399999999999,"003"
"317886",317.885,1.678125,-0.046125,4.919062,4.951875,1.012,"003"
"318962",318.961,1.740625,-0.036375,4.92375,4.951719,1.07600000000002,"003"
"320074",320.073,1.71875,-0.0314375,4.937188,4.952188,1.11199999999997,"003"
"321110",321.109,1.684375,-0.0356875,4.922187,4.951875,1.036,"003"
"322150",322.149,1.753125,-0.038,4.935625,4.953281,1.04000000000002,"003"
"323250",323.249,1.671875,-0.03175,4.925625,4.949219,1.10000000000002,"003"
"324379",324.378,1.69375,-0.0274375,4.92125,4.951406,1.12899999999996,"003"
"325433",325.432,1.621875,-0.03275,4.918125,4.952188,1.05400000000003,"003"
"326469",326.468,1.74375,-0.066125,4.91875,4.951875,1.036,"003"
