"","time","adi_ecg","adi_finger","adi_fro","ard_fro","ibi","id"
"69902",69.901,0.803125,0.0008125,4.4075,0.000625,0.932999999999993,"001"
"70788",70.787,0.765625,-0.0073125,4.534688,0.000625,0.88600000000001,"001"
"71672",71.671,0.69375,0.002375,4.859375,0.00046875,0.884,"001"
"72585",72.584,0.78125,-0.006375,4.505,0.00046875,0.912999999999997,"001"
"73511",73.51,0.75625,-6.25e-05,4.860313,0.0003125,0.926000000000002,"001"
"74393",74.392,0.725,-0.002875,4.860938,0.00078125,0.881999999999991,"001"
"75244",75.243,0.784375,-0.0043125,4.860313,0.00078125,0.850999999999999,"001"
"76120",76.119,0.759375,-0.0053125,4.860625,0.000625,0.876000000000005,"001"
"77028",77.027,0.809375,-0.0065,4.858438,0.0009375,0.908000000000001,"001"
"77942",77.941,0.809375,-0.0026875,4.860938,0.0009375,0.914000000000001,"001"
"78812",78.811,0.759375,-0.0049375,4.502187,0.00078125,0.870000000000005,"001"
"79676",79.675,0.7375,-0.0063125,4.860938,0.00078125,0.86399999999999,"001"
"80563",80.562,0.740625,-0.0075625,3.679063,0.00078125,0.887,"001"
"81491",81.49,0.79375,-0.003,4.511563,0.00078125,0.927999999999997,"001"
"82434",82.433,0.821875,-0.00525,4.860625,0.000625,0.943000000000012,"001"
"83351",83.35,0.734375,-0.000875,4.859375,0.0009375,0.916999999999987,"001"
"84205",84.204,0.75,-0.0013125,4.860313,0.00109375,0.853999999999999,"001"
"85007",85.006,0.721875,-0.0081875,4.858125,0.000625,0.802000000000007,"001"
"85829",85.828,0.765625,-0.00575,3.754375,0.000625,0.822000000000003,"001"
"86697",86.696,0.740625,-0.0095,4.860625,0.00078125,0.867999999999995,"001"
"87651",87.65,0.90625,-0.008125,4.86125,0.00046875,0.954000000000008,"001"
"88627",88.626,0.834375,-0.007625,4.860625,0.000625,0.975999999999999,"001"
"89562",89.561,0.775,-0.0159375,4.860625,0.000625,0.935000000000002,"001"
"90462",90.461,0.75,-0.010875,4.631875,0.00109375,0.899999999999991,"001"
"91372",91.371,0.7875,-0.0050625,3.553125,0.00046875,0.909999999999997,"001"
"92289",92.288,0.74375,-0.0295625,4.859063,0.00078125,0.917000000000002,"001"
"93195",93.194,0.728125,-0.0049375,4.859063,0.000625,0.906000000000006,"001"
"94056",94.055,0.73125,-0.00375,4.859687,0.000625,0.861000000000004,"001"
"94920",94.919,0.746875,-0.006625,4.860625,0.00046875,0.86399999999999,"001"
"95818",95.817,0.7625,-0.0015625,4.855313,0.000625,0.897999999999996,"001"
"96745",96.744,0.80625,-0.0049375,4.860625,0.00078125,0.927000000000007,"001"
"97688",97.687,0.759375,-0.0066875,4.860938,0.00046875,0.942999999999998,"001"
"98623",98.622,0.690625,-0.0004375,4.86125,0.00046875,0.935000000000002,"001"
"99508",99.507,0.715625,-0.0056875,4.860625,0.00078125,0.885000000000005,"001"
"100414",100.413,0.75,-0.004125,4.85875,0.00078125,0.905999999999992,"001"
"101350",101.349,0.759375,-0.0036875,4.860313,0.00078125,0.936000000000007,"001"
"102289",102.288,0.7625,-0.0020625,4.859687,0.000625,0.938999999999993,"001"
"103173",103.172,0.778125,-0.017,4.860625,0.000625,0.884,"001"
"104063",104.062,0.771875,-0.011875,4.86125,0.000625,0.890000000000001,"001"
"104956",104.955,0.76875,-0.0030625,4.860313,0.00078125,0.893000000000001,"001"
"105838",105.837,0.75625,-0.000125,4.860625,0.000625,0.882000000000005,"001"
"106681",106.68,0.69375,-0.0018125,4.859687,0.00046875,0.843000000000004,"001"
"107504",107.503,0.71875,-0.003625,4.85875,0.000625,0.822999999999993,"001"
"108350",108.349,0.7875,-0.0045625,4.860625,0.000625,0.846000000000004,"001"
"109250",109.249,0.825,-0.0049375,4.860625,0.000625,0.899999999999991,"001"
"110156",110.155,0.775,-0.005375,4.85875,0.00046875,0.906000000000006,"001"
"111073",111.072,0.759375,-0.000375,4.860313,0.000625,0.917000000000002,"001"
"111949",111.948,0.75625,-0.0024375,4.86,0.000625,0.875999999999991,"001"
"112770",112.769,0.70625,-0.0059375,2.572188,0.000625,0.821000000000012,"001"
"113597",113.596,0.7375,-0.0045,4.860625,0.00078125,0.826999999999998,"001"
"114458",114.457,0.796875,-0.0058125,4.860625,0.000625,0.86099999999999,"001"
"115383",115.382,0.73125,-0.0014375,4.804375,0.00078125,0.925000000000011,"001"
"116323",116.322,0.7125,-0.006375,4.859687,0.00046875,0.939999999999998,"001"
"117227",117.226,0.696875,-0.0013125,3.75125,0.00046875,0.903999999999996,"001"
"118095",118.094,0.725,-0.005375,4.860625,0.000625,0.867999999999995,"001"
"118973",118.972,0.74375,-0.003625,4.035312,0.00078125,0.878,"001"
"119867",119.866,0.734375,-0.003,4.020313,0.00078125,0.894000000000005,"001"
"120778",120.777,0.840625,-0.002875,4.761875,0.00078125,0.911000000000001,"001"
"121693",121.692,0.7875,-0.0055,4.860313,0.00109375,0.914999999999992,"001"
"122582",122.581,0.80625,-0.0053125,4.860938,0.000625,0.88900000000001,"001"
"123493",123.492,0.778125,-0.0028125,4.86,0.0003125,0.911000000000001,"001"
"124417",124.416,0.778125,-0.0064375,4.86,0.00078125,0.923999999999992,"001"
"125342",125.341,0.778125,-0.0105625,4.858438,0.00078125,0.924999999999997,"001"
"126251",126.25,0.79375,0.00225,4.860625,0.000625,0.909000000000006,"001"
"127101",127.1,0.76875,-0.00575,4.859063,0.000625,0.849999999999994,"001"
"127912",127.911,0.7125,-0.0210625,4.860625,0.000625,0.811000000000007,"001"
"128748",128.747,0.6875,0.02825,4.860625,0.00046875,0.836000000000013,"001"
"129631",129.63,0.85625,-0.0035625,4.86125,0.000625,0.882999999999981,"001"
"130578",130.577,0.815625,-0.0025625,4.86125,0.00046875,0.947000000000003,"001"
"131537",131.536,0.834375,-0.0100625,4.860938,0.00078125,0.959000000000003,"001"
"132410",132.409,0.74375,-0.0016875,4.860625,0.00078125,0.87299999999999,"001"
"133279",133.278,0.85625,0.000875,4.86125,0.00046875,0.869,"001"
"134167",134.166,0.675,-0.0061875,4.86,0.000625,0.888000000000005,"001"
"135080",135.079,0.7625,-0.004125,4.83,0.00078125,0.913000000000011,"001"
"136013",136.012,0.784375,-0.0040625,3.7725,0.000625,0.932999999999993,"001"
"136932",136.931,0.81875,-0.0026875,4.860938,0.00078125,0.919000000000011,"001"
"137794",137.793,0.746875,-0.0046875,4.708125,0.000625,0.861999999999995,"001"
"138688",138.687,0.71875,-0.0054375,4.86,0.00046875,0.894000000000005,"001"
"139600",139.599,0.76875,-0.0054375,3.78875,0.00078125,0.911999999999978,"001"
"140518",140.517,0.834375,-0.0031875,4.860625,0.00046875,0.918000000000006,"001"
"141391",141.39,0.7375,-0.0035,3.890938,0.000625,0.87299999999999,"001"
"142239",142.238,0.78125,-0.0021875,4.21125,0.000625,0.848000000000013,"001"
"143117",143.116,0.7875,-0.0044375,4.85875,0.000625,0.878000000000014,"001"
"144038",144.037,0.846875,-0.007,4.860938,0.00078125,0.920999999999992,"001"
"144974",144.973,0.803125,-0.001625,4.859375,0.00078125,0.936000000000007,"001"
"145887",145.886,0.740625,-0.0045,4.836875,0.000625,0.912999999999982,"001"
"146747",146.746,0.734375,-0.002625,4.41875,0.000625,0.860000000000014,"001"
"147615",147.614,0.790625,-0.0024375,4.550625,0.000625,0.867999999999995,"001"
"148509",148.508,0.759375,-0.0051875,4.549688,0.000625,0.894000000000005,"001"
"149421",149.42,0.796875,-0.00175,4.860625,0.00078125,0.911999999999978,"001"
"150315",150.314,0.828125,-0.002125,4.860938,0.000625,0.894000000000005,"001"
"151176",151.175,0.825,-0.0048125,4.705,0.00078125,0.861000000000018,"001"
"152085",152.084,0.725,-0.00275,3.608438,0.00078125,0.908999999999992,"001"
"153028",153.027,0.821875,-0.0068125,4.860938,0.000625,0.942999999999984,"001"
"153975",153.974,0.778125,-0.0018125,4.158125,0.00078125,0.947000000000003,"001"
"154893",154.892,0.834375,-0.005125,4.860938,0.00078125,0.918000000000006,"001"
"155760",155.759,0.76875,-0.0036875,4.860313,0.000625,0.86699999999999,"001"
"156649",156.648,0.765625,-0.0035625,4.86,0.00078125,0.88900000000001,"001"
