"","time","adi_ecg","adi_finger","adi_fro","ard_fro","ibi","id"
"104",0.103,-0.48125,-0.0251875,4.965,4.954375,NA,"001"
"930",0.929,-0.515625,-0.0045625,4.965625,4.955938,0.826,"001"
"1765",1.764,-0.30625,-0.010375,4.965,4.955469,0.835,"001"
"2610",2.609,-0.453125,-0.0135,4.965625,4.955469,0.845,"001"
"3483",3.482,-0.515625,-0.0123125,4.965,4.954844,0.873,"001"
"4398",4.397,-0.421875,-0.0055625,4.965625,4.955312,0.915,"001"
"5335",5.334,0.446875,-0.000875,4.962813,4.957656,0.936999999999999,"001"
"6270",6.269,-0.4,-0.0028125,4.965,4.954844,0.935,"001"
"7167",7.166,0.26875,0.0015,4.963125,4.95625,0.897,"001"
"8076",8.075,0.46875,-0.007625,4.961563,4.955469,0.908999999999999,"001"
"9022",9.021,0.55,-0.0039375,4.961875,4.956563,0.946000000000002,"001"
"9995",9.994,0.884375,-0.0045625,4.960625,4.955938,0.972999999999999,"001"
"10970",10.969,0.671875,-0.004,4.961875,4.955,0.975,"001"
"11924",11.923,0.40625,-0.002,4.963438,4.955469,0.954000000000001,"001"
"12844",12.843,-0.0625,-0.0065,4.965,4.956094,0.92,"001"
"13725",13.724,0.45625,-0.0073125,4.961875,4.955,0.881,"001"
"14628",14.627,0.284375,-0.0025625,4.963125,4.955469,0.903,"001"
"15563",15.562,0.55625,-0.003875,4.962187,4.929688,0.934999999999999,"001"
"16503",16.502,0.296875,-0.0019375,4.962813,4.955781,0.94,"001"
"17426",17.425,-0.49375,0.000625,4.965313,4.956094,0.923000000000002,"001"
"18309",18.308,-0.4875,0.0043125,4.965625,4.954844,0.882999999999999,"001"
"19212",19.211,-0.4625,-0.0126875,4.965313,4.955,0.902999999999999,"001"
"20130",20.129,-0.26875,-0.0099375,4.965,4.957031,0.918000000000003,"001"
"21053",21.052,-0.478125,-0.0050625,4.965937,4.955,0.922999999999998,"001"
"21971",21.97,-0.38125,-0.0051875,4.965625,4.957031,0.917999999999999,"001"
"22880",22.879,-0.415625,-6.25e-05,4.965,4.956406,0.909000000000002,"001"
"23737",23.736,-0.21875,-0.0040625,4.964688,4.955312,0.856999999999999,"001"
"24572",24.571,-0.44375,-0.0045625,4.965937,4.955312,0.835000000000001,"001"
"25417",25.416,-0.425,-0.0066875,4.965,4.955469,0.844999999999999,"001"
"26316",26.315,-0.421875,-0.0015625,4.965625,4.955,0.899000000000001,"001"
"27275",27.274,0.228125,-0.005125,4.96375,4.9575,0.959,"001"
"28259",28.258,-0.209375,0.0029375,4.965,4.956406,0.983999999999998,"001"
"29194",29.193,0.48125,-0.00175,4.963125,4.955469,0.935000000000002,"001"
"30126",30.125,-0.296875,-0.007375,4.965313,4.955469,0.931999999999999,"001"
"31058",31.057,0.48125,-0.0043125,4.963438,4.95625,0.931999999999999,"001"
"32002",32.001,-0.39375,-0.0064375,4.965937,4.955156,0.943999999999999,"001"
"32882",32.881,-0.24375,-0.005625,4.965313,4.955,0.880000000000003,"001"
"33731",33.73,-0.440625,-0.00175,4.965625,4.956563,0.848999999999997,"001"
"34595",34.594,-0.378125,-0.0081875,4.965313,4.956719,0.864000000000004,"001"
"35471",35.47,-0.446875,-0.00375,4.965937,4.954219,0.875999999999998,"001"
"36361",36.36,-0.4375,-0.0001875,4.965625,4.955469,0.890000000000001,"001"
"37229",37.228,-0.353125,-0.0045,4.965,4.955938,0.868000000000002,"001"
"38090",38.089,-0.2625,-0.0045,4.965,4.957187,0.860999999999997,"001"
"38982",38.981,-0.309375,-0.0084375,4.965313,4.955156,0.892000000000003,"001"
"39903",39.902,0.64375,-0.006875,4.961563,4.956563,0.920999999999999,"001"
"40861",40.86,-0.334375,-0.005875,4.965313,4.956094,0.957999999999998,"001"
"41805",41.804,-0.03125,-0.004875,4.964688,4.956094,0.944000000000003,"001"
"42716",42.715,-0.303125,-0.001625,4.965313,4.955,0.911000000000001,"001"
"43604",43.603,-0.428125,-0.0046875,4.965625,4.955156,0.887999999999998,"001"
